Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
County,San Mateo County,2016,Annual,448600,435200,13400,3%,N,Final
County,Santa Barbara County,2016,Annual,216600,205800,10800,5%,N,Final
County,Santa Clara County,2016,Annual,1026500,987900,38600,3.8%,N,Final
County,Santa Cruz County,2016,Annual,144500,134600,10000,6.9%,N,Final
County,Shasta County,2016,Annual,74700,69500,5200,6.9%,N,Final
County,Sierra County,2016,Annual,1350,1250,100,7.6%,N,Final
County,Siskiyou County,2016,Annual,17920,16400,1520,8.5%,N,Final
County,Solano County,2016,Annual,207900,196500,11400,5.5%,N,Final
County,Sonoma County,2016,Annual,260500,250200,10300,4%,N,Final
County,Stanislaus County,2016,Annual,244500,223700,20800,8.5%,N,Final
County,Sutter County,2016,Annual,45300,41000,4300,9.6%,N,Final
County,Tehama County,2016,Annual,25200,23410,1790,7.1%,N,Final
County,Trinity County,2016,Annual,5070,4710,360,7.1%,N,Final
County,Tulare County,2016,Annual,205900,183300,22600,11%,N,Final
County,Tuolumne County,2016,Annual,21860,20510,1350,6.2%,N,Final
County,Ventura County,2016,Annual,427800,405600,22100,5.2%,N,Final
County,Yolo County,2016,Annual,106300,100100,6100,5.8%,N,Final
County,Yuba County,2016,Annual,28300,25900,2400,8.5%,N,Final
County,Alameda County,2015,Annual,823100,784300,38800,4.7%,N,Final
County,Alpine County,2015,Annual,550,510,40,7.3%,N,Final
County,Amador County,2015,Annual,14340,13400,940,6.6%,N,Final
County,Butte County,2015,Annual,101300,94100,7200,7.1%,N,Final
County,Calaveras County,2015,Annual,20580,19270,1310,6.4%,N,Final
County,Colusa County,2015,Annual,11070,9370,1700,15.3%,N,Final
County,Contra Costa County,2015,Annual,547400,520100,27400,5%,N,Final
County,Del Norte County,2015,Annual,9870,9030,840,8.5%,N,Final
County,El Dorado County,2015,Annual,88300,83300,5000,5.7%,N,Final
County,Fresno County,2015,Annual,441300,396500,44800,10.2%,N,Final
County,Glenn County,2015,Annual,12990,11860,1130,8.7%,N,Final
County,Humboldt County,2015,Annual,62400,59000,3500,5.6%,N,Final
County,Imperial County,2015,Annual,78100,59400,18700,24%,N,Final
County,Inyo County,2015,Annual,9110,8580,520,5.8%,N,Final
County,Kern County,2015,Annual,390800,351000,39800,10.2%,N,Final
County,Kings County,2015,Annual,57900,51800,6100,10.5%,N,Final
County,Lake County,2015,Annual,29050,26850,2200,7.6%,N,Final
County,Lassen County,2015,Annual,10780,10010,780,7.2%,N,Final
County,Los Angeles County,2015,Annual,5000600,4668200,332400,6.6%,N,Final
County,Madera County,2015,Annual,60000,53700,6300,10.5%,N,Final
County,Marin County,2015,Annual,139500,134600,4900,3.5%,N,Final
County,Mariposa County,2015,Annual,8030,7460,570,7.1%,N,Final
County,Mendocino County,2015,Annual,39930,37610,2310,5.8%,N,Final
County,Merced County,2015,Annual,114300,101400,12900,11.3%,N,Final
County,Modoc County,2015,Annual,3300,3020,280,8.5%,N,Final
County,Mono County,2015,Annual,8260,7760,500,6.1%,N,Final
County,Monterey County,2015,Annual,218800,201100,17600,8.1%,N,Final
County,Napa County,2015,Annual,73900,70500,3400,4.6%,N,Final
County,Nevada County,2015,Annual,48140,45540,2600,5.4%,N,Final
County,Orange County,2015,Annual,1588700,1518000,70700,4.4%,N,Final
County,Placer County,2015,Annual,176800,167900,8900,5%,N,Final
County,Plumas County,2015,Annual,7900,7090,810,10.2%,N,Final
County,Riverside County,2015,Annual,1035500,966400,69100,6.7%,N,Final
County,Sacramento County,2015,Annual,685900,644900,41000,6%,N,Final
County,San Benito County,2015,Annual,29300,27100,2200,7.7%,N,Final
County,San Bernardino County,2015,Annual,921000,862000,59100,6.4%,N,Final
County,San Diego County,2015,Annual,1554800,1474400,80400,5.2%,N,Final
County,San Francisco County,2015,Annual,545700,526000,19700,3.6%,N,Final
County,San Joaquin County,2015,Annual,315200,287300,27900,8.9%,N,Final
County,San Luis Obispo County,2015,Annual,139600,133000,6600,4.7%,N,Final
County,San Mateo County,2015,Annual,437700,422900,14800,3.4%,N,Final
County,Santa Barbara County,2015,Annual,217800,206300,11500,5.3%,N,Final
County,Santa Clara County,2015,Annual,1009800,967800,41900,4.2%,N,Final
County,Santa Cruz County,2015,Annual,143400,132700,10700,7.5%,N,Final
County,Shasta County,2015,Annual,74300,68600,5800,7.7%,N,Final
County,Sierra County,2015,Annual,1360,1240,120,8.8%,N,Final
County,Siskiyou County,2015,Annual,17920,16240,1670,9.3%,N,Final
County,Solano County,2015,Annual,205300,192800,12500,6.1%,N,Final
County,Sonoma County,2015,Annual,258400,246900,11500,4.5%,N,Final
County,Stanislaus County,2015,Annual,241600,218700,22800,9.5%,N,Final
County,Sutter County,2015,Annual,44700,39900,4800,10.7%,N,Final
County,Tehama County,2015,Annual,25070,23100,1980,7.9%,N,Final
County,Trinity County,2015,Annual,5140,4740,400,7.8%,N,Final
County,Tulare County,2015,Annual,204000,180600,23500,11.5%,N,Final
County,Tuolumne County,2015,Annual,21580,20060,1520,7%,N,Final
County,Ventura County,2015,Annual,428400,404300,24100,5.6%,N,Final
County,Yolo County,2015,Annual,104700,98000,6700,6.4%,N,Final
County,Yuba County,2015,Annual,27900,25300,2600,9.2%,N,Final
County,Alameda County,2014,Annual,809600,762500,47100,5.8%,N,Final
County,Alpine County,2014,Annual,510,470,40,8.2%,N,Final
County,Amador County,2014,Annual,14380,13180,1190,8.3%,N,Final
County,Butte County,2014,Annual,101400,92700,8800,8.6%,N,Final
County,Calaveras County,2014,Annual,20280,18660,1620,8%,N,Final
County,Colusa County,2014,Annual,11110,9180,1930,17.4%,N,Final
County,Contra Costa County,2014,Annual,540600,507300,33300,6.2%,N,Final
County,Del Norte County,2014,Annual,9950,8950,1000,10.1%,N,Final
County,El Dorado County,2014,Annual,88100,81900,6100,7%,N,Final
County,Fresno County,2014,Annual,439100,388300,50800,11.6%,N,Final
County,Glenn County,2014,Annual,12830,11460,1370,10.6%,N,Final
County,Humboldt County,2014,Annual,62500,58300,4200,6.7%,N,Final
County,Imperial County,2014,Annual,78400,59600,18800,24%,N,Final
County,Inyo County,2014,Annual,9230,8600,630,6.8%,N,Final
County,Kern County,2014,Annual,393300,352400,40900,10.4%,N,Final
County,Kings County,2014,Annual,57600,50700,6900,11.9%,N,Final
County,Lake County,2014,Annual,29340,26720,2620,8.9%,N,Final
County,Lassen County,2014,Annual,10840,9850,990,9.1%,N,Final
County,Los Angeles County,2014,Annual,5006800,4593900,412900,8.2%,N,Final
County,Madera County,2014,Annual,61900,55000,6900,11.2%,N,Final
County,Marin County,2014,Annual,139100,133100,5900,4.3%,N,Final
County,Mariposa County,2014,Annual,8110,7400,710,8.8%,N,Final
County,Mendocino County,2014,Annual,40460,37630,2830,7%,N,Final
County,Merced County,2014,Annual,114500,99800,14700,12.8%,N,Final
County,Modoc County,2014,Annual,3370,3030,350,10.3%,N,Final
County,Mono County,2014,Annual,8260,7680,580,7%,N,Final
County,Monterey County,2014,Annual,218100,198400,19700,9%,N,Final
County,Napa County,2014,Annual,73600,69400,4200,5.7%,N,Final
County,Nevada County,2014,Annual,47940,44800,3140,6.5%,N,Final
County,Orange County,2014,Annual,1572000,1485700,86200,5.5%,N,Final
County,Placer County,2014,Annual,175800,164800,11000,6.3%,N,Final
County,Plumas County,2014,Annual,8120,7180,940,11.5%,N,Final
County,Riverside County,2014,Annual,1013000,930000,83000,8.2%,N,Final
County,Sacramento County,2014,Annual,680400,630700,49700,7.3%,N,Final
County,San Benito County,2014,Annual,29200,26500,2700,9.3%,N,Final
County,San Bernardino County,2014,Annual,907100,834500,72600,8%,N,Final
County,San Diego County,2014,Annual,1543700,1444500,99300,6.4%,N,Final
County,San Francisco County,2014,Annual,529600,506500,23100,4.4%,N,Final
County,San Joaquin County,2014,Annual,312600,279700,32900,10.5%,N,Final
County,San Luis Obispo County,2014,Annual,140500,132700,7800,5.6%,N,Final
County,San Mateo County,2014,Annual,427700,409700,18000,4.2%,N,Final
County,Santa Barbara County,2014,Annual,218200,204900,13300,6.1%,N,Final
County,Santa Clara County,2014,Annual,991800,940700,51100,5.2%,N,Final
County,Santa Cruz County,2014,Annual,142600,130100,12500,8.8%,N,Final
County,Shasta County,2014,Annual,75000,67800,7200,9.6%,N,Final
County,Sierra County,2014,Annual,1420,1270,140,10.1%,N,Final
County,Siskiyou County,2014,Annual,18040,16040,2000,11.1%,N,Final
County,Solano County,2014,Annual,203200,187900,15300,7.5%,N,Final
County,Sonoma County,2014,Annual,256600,242200,14400,5.6%,N,Final
County,Stanislaus County,2014,Annual,241000,214100,26900,11.2%,N,Final
County,Sutter County,2014,Annual,44400,38800,5600,12.6%,N,Final
County,Tehama County,2014,Annual,25130,22720,2420,9.6%,N,Final
County,Trinity County,2014,Annual,5180,4690,490,9.4%,N,Final
County,Tulare County,2014,Annual,198500,172500,26100,13.1%,N,Final
County,Tuolumne County,2014,Annual,21620,19750,1870,8.7%,N,Final
County,Ventura County,2014,Annual,430900,402300,28600,6.6%,N,Final
County,Yolo County,2014,Annual,102400,94700,7700,7.5%,N,Final
County,Yuba County,2014,Annual,27900,24800,3100,11.2%,N,Final
County,Alameda County,2013,Annual,802800,744800,58000,7.2%,N,Final
County,Alpine County,2013,Annual,530,480,50,9.7%,N,Final
County,Amador County,2013,Annual,14450,12960,1490,10.3%,N,Final
County,Butte County,2013,Annual,101700,91300,10500,10.3%,N,Final
County,Calaveras County,2013,Annual,20250,18240,2010,9.9%,N,Final
County,Colusa County,2013,Annual,11290,9160,2130,18.9%,N,Final
County,Contra Costa County,2013,Annual,538000,497700,40300,7.5%,N,Final
County,Del Norte County,2013,Annual,10330,9110,1220,11.8%,N,Final
County,El Dorado County,2013,Annual,88600,81100,7500,8.5%,N,Final
County,Fresno County,2013,Annual,437900,379900,58000,13.2%,N,Final
County,Glenn County,2013,Annual,12990,11420,1570,12.1%,N,Final
County,Humboldt County,2013,Annual,63100,58000,5100,8.1%,N,Final
County,Imperial County,2013,Annual,78300,58700,19600,25%,N,Final
County,Inyo County,2013,Annual,9390,8660,740,7.8%,N,Final
County,Kern County,2013,Annual,393400,347200,46200,11.7%,N,Final
County,Kings County,2013,Annual,58200,50400,7800,13.4%,N,Final
County,Lake County,2013,Annual,29260,26070,3190,10.9%,N,Final
County,Lassen County,2013,Annual,11000,9840,1170,10.6%,N,Final
County,Los Angeles County,2013,Annual,4967000,4482100,485000,9.8%,N,Final
County,Madera County,2013,Annual,62300,54400,7800,12.6%,N,Final
County,Marin County,2013,Annual,138400,131200,7100,5.2%,N,Final
County,Mariposa County,2013,Annual,8230,7360,870,10.5%,N,Final
County,Mendocino County,2013,Annual,40840,37430,3410,8.3%,N,Final
County,Merced County,2013,Annual,114600,98000,16600,14.5%,N,Final
County,Modoc County,2013,Annual,3500,3070,430,12.3%,N,Final
County,Mono County,2013,Annual,8370,7660,710,8.5%,N,Final
County,Monterey County,2013,Annual,216400,194100,22300,10.3%,N,Final
County,Napa County,2013,Annual,72800,67800,5000,6.9%,N,Final
County,Nevada County,2013,Annual,48170,44270,3900,8.1%,N,Final
County,Orange County,2013,Annual,1565300,1462400,102900,6.6%,N,Final
County,Placer County,2013,Annual,175800,162300,13600,7.7%,N,Final
County,Plumas County,2013,Annual,8260,7110,1140,13.8%,N,Final
County,Riverside County,2013,Annual,996300,897800,98600,9.9%,N,Final
County,Sacramento County,2013,Annual,680200,619900,60300,8.9%,N,Final
County,San Benito County,2013,Annual,28900,25700,3200,11.1%,N,Final
County,San Bernardino County,2013,Annual,896600,809100,87500,9.8%,N,Final
County,San Diego County,2013,Annual,1543200,1422500,120700,7.8%,N,Final
County,San Francisco County,2013,Annual,516300,488200,28100,5.5%,N,Final
County,San Joaquin County,2013,Annual,313100,274600,38500,12.3%,N,Final
County,San Luis Obispo County,2013,Annual,138300,128800,9400,6.8%,N,Final
County,San Mateo County,2013,Annual,418100,396100,22000,5.3%,N,Final
County,Santa Barbara County,2013,Annual,217300,201700,15600,7.2%,N,Final
County,Santa Clara County,2013,Annual,971800,909100,62700,6.5%,N,Final
County,Santa Cruz County,2013,Annual,142100,127500,14600,10.3%,N,Final
County,Shasta County,2013,Annual,75300,66400,8900,11.8%,N,Final
County,Sierra County,2013,Annual,1450,1270,190,12.7%,N,Final
County,Siskiyou County,2013,Annual,18290,15890,2400,13.1%,N,Final
County,Solano County,2013,Annual,203000,184600,18400,9.1%,N,Final
County,Sonoma County,2013,Annual,250000,232200,17700,7.1%,N,Final
County,Stanislaus County,2013,Annual,241000,209800,31200,12.9%,N,Final
County,Sutter County,2013,Annual,44800,38200,6500,14.6%,N,Final
County,Tehama County,2013,Annual,25080,22170,2910,11.6%,N,Final
County,Trinity County,2013,Annual,5190,4570,620,11.9%,N,Final
County,Tulare County,2013,Annual,201000,172200,28800,14.3%,N,Final
County,Tuolumne County,2013,Annual,21750,19410,2340,10.8%,N,Final
County,Ventura County,2013,Annual,434000,399800,34200,7.9%,N,Final
County,Yolo County,2013,Annual,101800,92700,9200,9%,N,Final
County,Yuba County,2013,Annual,28200,24500,3700,13.1%,N,Final
County,Alameda County,2012,Annual,798400,729000,69400,8.7%,N,Final
County,Alpine County,2012,Annual,540,480,60,11.2%,N,Final
County,Amador County,2012,Annual,14670,12870,1800,12.3%,N,Final
County,Butte County,2012,Annual,101000,88700,12300,12.2%,N,Final
County,Calaveras County,2012,Annual,20200,17710,2500,12.4%,N,Final
County,Colusa County,2012,Annual,11270,8940,2340,20.7%,N,Final
County,Contra Costa County,2012,Annual,535800,487900,47900,8.9%,N,Final
County,Del Norte County,2012,Annual,10500,9080,1420,13.5%,N,Final
County,El Dorado County,2012,Annual,89100,80000,9100,10.2%,N,Final
County,Fresno County,2012,Annual,440000,373500,66600,15.1%,N,Final
County,Glenn County,2012,Annual,13150,11280,1870,14.2%,N,Final
County,Humboldt County,2012,Annual,64300,58100,6200,9.6%,N,Final
County,Imperial County,2012,Annual,79300,57600,21700,27.4%,N,Final
County,Inyo County,2012,Annual,9560,8690,870,9.1%,N,Final
County,Kern County,2012,Annual,391900,340400,51500,13.1%,N,Final
County,Kings County,2012,Annual,58800,50000,8800,14.9%,N,Final
County,Lake County,2012,Annual,29510,25740,3770,12.8%,N,Final
County,Lassen County,2012,Annual,11470,10040,1430,12.5%,N,Final
County,Los Angeles County,2012,Annual,4915300,4378400,536900,10.9%,N,Final
County,Madera County,2012,Annual,62500,53500,9000,14.4%,N,Final
County,Marin County,2012,Annual,136900,128300,8600,6.3%,N,Final
County,Mariposa County,2012,Annual,8380,7350,1020,12.2%,N,Final
County,Mendocino County,2012,Annual,40950,36840,4110,10%,N,Final
County,Merced County,2012,Annual,115000,96200,18800,16.3%,N,Final
County,Modoc County,2012,Annual,3610,3090,520,14.4%,N,Final
County,Mono County,2012,Annual,8400,7530,870,10.3%,N,Final
County,Monterey County,2012,Annual,217800,192600,25200,11.6%,N,Final
County,Napa County,2012,Annual,71800,65800,6100,8.4%,N,Final
County,Nevada County,2012,Annual,48360,43650,4710,9.7%,N,Final
County,Orange County,2012,Annual,1562100,1439300,122900,7.9%,N,Final
County,Placer County,2012,Annual,174900,158500,16400,9.4%,N,Final
County,Plumas County,2012,Annual,8490,7120,1370,16.1%,N,Final
County,Riverside County,2012,Annual,987100,872300,114800,11.6%,N,Final
County,Sacramento County,2012,Annual,681300,609700,71600,10.5%,N,Final
County,San Benito County,2012,Annual,28700,24900,3700,13%,N,Final
County,San Bernardino County,2012,Annual,892200,790400,101800,11.4%,N,Final
County,San Diego County,2012,Annual,1540400,1399900,140600,9.1%,N,Final
County,San Francisco County,2012,Annual,509400,474900,34500,6.8%,N,Final
County,San Joaquin County,2012,Annual,311800,267100,44800,14.4%,N,Final
County,San Luis Obispo County,2012,Annual,137400,126000,11300,8.2%,N,Final
County,San Mateo County,2012,Annual,412100,385700,26400,6.4%,N,Final
County,Santa Barbara County,2012,Annual,216000,197900,18100,8.4%,N,Final
County,Santa Clara County,2012,Annual,958300,883000,75300,7.9%,N,Final
County,Santa Cruz County,2012,Annual,142100,125300,16800,11.8%,N,Final
County,Shasta County,2012,Annual,76000,65200,10800,14.2%,N,Final
County,Sierra County,2012,Annual,1470,1260,210,14.4%,N,Final
County,Siskiyou County,2012,Annual,18880,15930,2950,15.6%,N,Final
County,Solano County,2012,Annual,202700,181000,21700,10.7%,N,Final
County,Sonoma County,2012,Annual,246300,224500,21800,8.9%,N,Final
County,Stanislaus County,2012,Annual,242000,205900,36000,14.9%,N,Final
County,Sutter County,2012,Annual,45600,37900,7700,16.8%,N,Final
County,Tehama County,2012,Annual,25250,21780,3470,13.7%,N,Final
County,Trinity County,2012,Annual,5330,4550,780,14.6%,N,Final
County,Tulare County,2012,Annual,201300,168800,32500,16.2%,N,Final
County,Tuolumne County,2012,Annual,22320,19420,2900,13%,N,Final
County,Ventura County,2012,Annual,434700,395200,39500,9.1%,N,Final
County,Yolo County,2012,Annual,102600,91700,10900,10.6%,N,Final
County,Yuba County,2012,Annual,28800,24400,4400,15.4%,N,Final
County,Alameda County,2011,Annual,786800,707400,79400,10.1%,N,Final
County,Alpine County,2011,Annual,590,520,80,12.8%,N,Final
County,Amador County,2011,Annual,15100,13040,2060,13.6%,N,Final
County,Butte County,2011,Annual,100600,86900,13800,13.7%,N,Final
County,Calaveras County,2011,Annual,20670,17770,2900,14%,N,Final
County,Colusa County,2011,Annual,11380,8960,2420,21.2%,N,Final
County,Contra Costa County,2011,Annual,529600,475000,54500,10.3%,N,Final
County,Del Norte County,2011,Annual,10900,9450,1450,13.3%,N,Final
County,El Dorado County,2011,Annual,89700,79200,10500,11.7%,N,Final
County,Fresno County,2011,Annual,443500,370200,73300,16.5%,N,Final
County,Glenn County,2011,Annual,13170,11120,2040,15.5%,N,Final
County,Humboldt County,2011,Annual,65100,58200,6900,10.6%,N,Final
County,Imperial County,2011,Annual,79500,56500,22900,28.9%,N,Final
County,Inyo County,2011,Annual,9680,8740,940,9.7%,N,Final
County,Kern County,2011,Annual,382400,325700,56700,14.8%,N,Final
County,Kings County,2011,Annual,59100,49700,9400,15.9%,N,Final
County,Lake County,2011,Annual,29610,25310,4300,14.5%,N,Final
County,Lassen County,2011,Annual,11790,10190,1600,13.5%,N,Final
County,Los Angeles County,2011,Annual,4928500,4327900,600500,12.2%,N,Final
County,Madera County,2011,Annual,62000,52000,10000,16.2%,N,Final
County,Marin County,2011,Annual,134600,124800,9800,7.3%,N,Final
County,Mariposa County,2011,Annual,8660,7520,1140,13.2%,N,Final
County,Mendocino County,2011,Annual,40950,36280,4670,11.4%,N,Final
County,Merced County,2011,Annual,114700,94500,20200,17.6%,N,Final
County,Modoc County,2011,Annual,3620,3040,580,16%,N,Final
County,Mono County,2011,Annual,8830,7940,890,10.1%,N,Final
County,Monterey County,2011,Annual,216600,189100,27400,12.7%,N,Final
County,Napa County,2011,Annual,70800,63800,6900,9.8%,N,Final
County,Nevada County,2011,Annual,49020,43590,5430,11.1%,N,Final
County,Orange County,2011,Annual,1546400,1406400,140000,9.1%,N,Final
County,Placer County,2011,Annual,173700,154900,18800,10.8%,N,Final
County,Plumas County,2011,Annual,8890,7330,1560,17.6%,N,Final
County,Riverside County,2011,Annual,978500,849600,128900,13.2%,N,Final
County,Sacramento County,2011,Annual,680000,597700,82300,12.1%,N,Final
County,San Benito County,2011,Annual,28300,24200,4100,14.5%,N,Final
County,San Bernardino County,2011,Annual,888500,774200,114300,12.9%,N,Final
County,San Diego County,2011,Annual,1524600,1367300,157300,10.3%,N,Final
County,San Francisco County,2011,Annual,494800,454900,39900,8.1%,N,Final
County,San Joaquin County,2011,Annual,311400,261000,50400,16.2%,N,Final
County,San Luis Obispo County,2011,Annual,134400,121500,12900,9.6%,N,Final
County,San Mateo County,2011,Annual,399900,369800,30000,7.5%,N,Final
County,Santa Barbara County,2011,Annual,213000,193000,20000,9.4%,N,Final
County,Santa Clara County,2011,Annual,939900,852400,87400,9.3%,N,Final
County,Santa Cruz County,2011,Annual,141300,122900,18500,13.1%,N,Final
County,Shasta County,2011,Annual,77000,64800,12300,15.9%,N,Final
County,Sierra County,2011,Annual,1600,1360,240,14.9%,N,Final
County,Siskiyou County,2011,Annual,19440,16130,3300,17%,N,Final
County,Solano County,2011,Annual,202200,177600,24600,12.2%,N,Final
County,Sonoma County,2011,Annual,246200,221000,25200,10.2%,N,Final
County,Stanislaus County,2011,Annual,242300,202400,40000,16.5%,N,Final
County,Sutter County,2011,Annual,45900,37600,8300,18.2%,N,Final
County,Tehama County,2011,Annual,25570,21740,3830,15%,N,Final
County,Trinity County,2011,Annual,5390,4490,900,16.7%,N,Final
County,Tulare County,2011,Annual,203500,168700,34800,17.1%,N,Final
County,Tuolumne County,2011,Annual,22730,19440,3290,14.5%,N,Final
County,Ventura County,2011,Annual,431700,387500,44200,10.2%,N,Final
County,Yolo County,2011,Annual,101800,89800,12000,11.8%,N,Final
County,Yuba County,2011,Annual,28900,24000,4900,17%,N,Final
County,Alameda County,2010,Annual,782500,697100,85400,10.9%,N,Final
County,Alpine County,2010,Annual,540,470,70,12.9%,N,Final
County,Amador County,2010,Annual,15510,13330,2180,14.1%,N,Final
County,Butte County,2010,Annual,102600,88300,14200,13.9%,N,Final
County,Calaveras County,2010,Annual,21010,17980,3040,14.4%,N,Final
County,Colusa County,2010,Annual,11520,9120,2400,20.8%,N,Final
County,Contra Costa County,2010,Annual,525500,467900,57600,11%,N,Final
County,Del Norte County,2010,Annual,10930,9490,1440,13.2%,N,Final
County,El Dorado County,2010,Annual,91100,80000,11100,12.2%,N,Final
County,Fresno County,2010,Annual,439600,366200,73400,16.7%,N,Final
County,Glenn County,2010,Annual,13220,11180,2040,15.4%,N,Final
County,Humboldt County,2010,Annual,66100,59100,7000,10.6%,N,Final
County,Imperial County,2010,Annual,78700,56000,22700,28.8%,N,Final
County,Inyo County,2010,Annual,9750,8810,950,9.7%,N,Final
County,Kern County,2010,Annual,371500,313400,58200,15.7%,N,Final
County,Kings County,2010,Annual,59400,49900,9600,16.1%,N,Final
County,Lake County,2010,Annual,29850,25340,4500,15.1%,N,Final
County,Lassen County,2010,Annual,12100,10400,1700,14%,N,Final
County,Los Angeles County,2010,Annual,4917400,4302300,615100,12.5%,N,Final
County,Madera County,2010,Annual,61600,51400,10200,16.6%,N,Final
County,Marin County,2010,Annual,133000,122600,10400,7.9%,N,Final
County,Mariposa County,2010,Annual,8710,7580,1130,12.9%,N,Final
County,Mendocino County,2010,Annual,41600,36770,4830,11.6%,N,Final
County,Merced County,2010,Annual,113600,93200,20400,18%,N,Final
County,Modoc County,2010,Annual,3820,3240,580,15.2%,N,Final
County,Mono County,2010,Annual,8890,7980,910,10.2%,N,Final
County,Monterey County,2010,Annual,215800,188300,27400,12.7%,N,Final
County,Napa County,2010,Annual,70200,63000,7200,10.3%,N,Final
County,Nevada County,2010,Annual,48920,43180,5740,11.7%,N,Final
County,Orange County,2010,Annual,1537200,1387400,149700,9.7%,N,Final
County,Placer County,2010,Annual,173300,153200,20100,11.6%,N,Final
County,Plumas County,2010,Annual,9150,7480,1670,18.2%,N,Final
County,Riverside County,2010,Annual,976400,841300,135200,13.8%,N,Final
County,Sacramento County,2010,Annual,683100,597000,86100,12.6%,N,Final
County,San Benito County,2010,Annual,27900,23700,4200,15.1%,N,Final
County,San Bernardino County,2010,Annual,890300,769900,120400,13.5%,N,Final
County,San Diego County,2010,Annual,1515200,1352300,162900,10.8%,N,Final
County,San Francisco County,2010,Annual,486000,442700,43300,8.9%,N,Final
County,San Joaquin County,2010,Annual,311400,260000,51400,16.5%,N,Final
County,San Luis Obispo County,2010,Annual,133700,120200,13400,10.1%,N,Final
County,San Mateo County,2010,Annual,393000,360200,32800,8.4%,N,Final
County,Santa Barbara County,2010,Annual,212300,191700,20600,9.7%,N,Final
County,Santa Clara County,2010,Annual,926500,830100,96400,10.4%,N,Final
County,Santa Cruz County,2010,Annual,141700,122900,18800,13.3%,N,Final
County,Shasta County,2010,Annual,78500,65300,13200,16.8%,N,Final
County,Sierra County,2010,Annual,1610,1360,250,15.3%,N,Final
County,Siskiyou County,2010,Annual,19630,16330,3300,16.8%,N,Final
County,Solano County,2010,Annual,202400,177000,25400,12.6%,N,Final
County,Sonoma County,2010,Annual,244600,218100,26500,10.8%,N,Final
County,Stanislaus County,2010,Annual,243300,202200,41100,16.9%,N,Final
County,Sutter County,2010,Annual,46000,37500,8400,18.4%,N,Final
County,Tehama County,2010,Annual,25710,21750,3960,15.4%,N,Final
County,Trinity County,2010,Annual,5420,4500,920,17%,N,Final
County,Tulare County,2010,Annual,203000,168100,34900,17.2%,N,Final
County,Tuolumne County,2010,Annual,22620,19170,3440,15.2%,N,Final
County,Ventura County,2010,Annual,430000,383400,46600,10.8%,N,Final
County,Yolo County,2010,Annual,102200,89800,12400,12.1%,N,Final
County,Yuba County,2010,Annual,29100,23900,5200,17.8%,N,Final
